TargetID,Heritability_Score,Chromosome
ENSG00000042062,0.076219,20
ENSG00000042088,0.234315,14
ENSG00000042286,0.15534,10
ENSG00000042317,0.110055,14
ENSG00000042429,0.117873,11
ENSG00000042445,0.132406,2
ENSG00000042493,0.315956,2
ENSG00000042753,-0.081243,19
ENSG00000042832,-0.068444,8
ENSG00000042980,0.000813,8
ENSG00000043039,-0.0451,11
ENSG00000043143,0.219543,5
ENSG00000043462,0.184246,5
ENSG00000043514,0.641327,1
ENSG00000043591,0.130881,10
ENSG00000044090,0.072541,6
ENSG00000044115,0.014668,5
ENSG00000044459,0.003344,9
ENSG00000044574,0.014916,9
ENSG00000046604,0.026829,18
ENSG00000047056,-0.063292,10
ENSG00000047188,0.224464,5
ENSG00000047249,0.132875,8
ENSG00000047315,0.03979,4
ENSG00000047346,0.10313,15
ENSG00000047365,0.137782,4
ENSG00000047410,0.055882,1
ENSG00000047457,0.152935,3
ENSG00000047578,0.105928,16
ENSG00000047579,0.145823,6
ENSG00000047621,-0.049713,12
ENSG00000047662,0.184032,4
ENSG00000047849,0.096402,3
ENSG00000047932,-0.000354,6
ENSG00000048028,0.268273,11
ENSG00000048140,-0.001904,5
ENSG00000048162,0.169823,5
ENSG00000048342,0.061984,4
ENSG00000048392,0.035238,8
ENSG00000048405,0.133951,7
ENSG00000048462,-0.039172,16
ENSG00000048471,0.050501,16
ENSG00000048540,0.015949,12
ENSG00000048544,0.351262,6
ENSG00000048649,0.067417,11
ENSG00000048991,0.006018,2
ENSG00000049089,0.247621,1
ENSG00000049130,0.015613,12
ENSG00000049167,0.442093,5
ENSG00000049192,0.251986,5
ENSG00000049239,0.325476,1
ENSG00000049245,0.045321,1
ENSG00000049246,0.048457,1
ENSG00000049249,0.037072,1
ENSG00000049323,0.129199,2
ENSG00000049449,0.004821,11
ENSG00000049541,-0.005414,7
ENSG00000049618,0.013885,6
ENSG00000049656,-0.051977,5
ENSG00000049759,0.204276,18
ENSG00000049860,0.044021,5
ENSG00000050130,0.165401,14
ENSG00000050165,0.04141,11
ENSG00000050327,0.171634,7
ENSG00000050344,0.078457,7
ENSG00000050393,0.051498,6
ENSG00000050405,-0.011939,12
ENSG00000050426,0.034089,12
ENSG00000050438,-0.036002,12
ENSG00000050730,0.072015,4
ENSG00000050748,0.09619,5
ENSG00000050767,0.157599,5
ENSG00000050820,0.186022,16
ENSG00000051009,-0.031044,11
ENSG00000051108,0.001897,16
ENSG00000051128,-0.023125,19
ENSG00000051180,0.147839,15
ENSG00000051341,0.000659,3
ENSG00000051382,0.066876,3
ENSG00000051523,-0.099223,16
ENSG00000051596,-0.083749,5
ENSG00000051620,0.506282,6
ENSG00000051825,-0.00473,12
ENSG00000052723,-0.022696,1
ENSG00000052749,0.165432,10
ENSG00000052795,0.003533,4
ENSG00000052802,-0.073089,4
ENSG00000052841,-0.06186,11
ENSG00000053108,0.190616,5
ENSG00000053254,0.074566,14
ENSG00000053371,0.137019,1
ENSG00000053372,0.297883,1
ENSG00000053438,0.016326,20
ENSG00000053501,0.061078,19
ENSG00000053524,0.068369,3
ENSG00000053702,0.290087,12
ENSG00000053747,0.002835,18
ENSG00000053770,0.531199,14
ENSG00000053900,0.009449,4
ENSG00000053918,-0.039138,11
ENSG00000054116,-0.04431,1
ENSG00000054118,-0.052931,1
ENSG00000054148,-0.069588,9
ENSG00000054179,0.132188,9
ENSG00000054219,0.079893,2
ENSG00000054267,0.163296,1
ENSG00000054277,0.113915,1
ENSG00000054282,0.369963,1
ENSG00000054356,-0.091269,2
ENSG00000054392,0.187684,1
ENSG00000054523,0.156289,1
ENSG00000054598,-0.057717,6
ENSG00000054611,0.297305,22
ENSG00000054654,-0.017641,14
ENSG00000054690,0.08803,14
ENSG00000054793,0.019045,20
ENSG00000054967,0.002524,11
ENSG00000054983,0.382402,14
ENSG00000055044,0.043615,2
ENSG00000055070,-0.03683,1
ENSG00000055118,-8e-05,7
ENSG00000055130,0.190539,7
ENSG00000055147,-0.053366,5
ENSG00000055208,0.009657,6
ENSG00000055211,0.185708,6
ENSG00000055332,0.019179,2
ENSG00000055483,0.380653,17
ENSG00000055609,0.02486,7
ENSG00000055732,0.095876,1
ENSG00000055917,-0.0939,2
ENSG00000055950,0.284716,10
ENSG00000055955,0.412363,3
ENSG00000055957,-0.029065,3
ENSG00000056050,0.59115,4
ENSG00000056097,0.141278,5
ENSG00000056487,-0.115602,22
ENSG00000056558,-0.0326,9
ENSG00000056586,-0.064748,9
ENSG00000056736,0.017484,3
ENSG00000056972,0.011873,6
ENSG00000057019,0.004288,3
ENSG00000057252,0.206996,1
ENSG00000057294,-0.061887,12
ENSG00000057468,0.280316,1
ENSG00000057608,0.098698,10
ENSG00000057657,-0.034829,6
ENSG00000057663,-0.019039,6
ENSG00000057704,-0.022594,12
ENSG00000057757,-0.023026,1
ENSG00000057935,0.208609,2
ENSG00000058056,0.007547,3
ENSG00000058063,0.180367,3
ENSG00000058085,0.180733,1
ENSG00000058091,0.029124,7
ENSG00000058262,-0.030274,3
ENSG00000058272,-0.033709,12
ENSG00000058335,-0.088333,15
ENSG00000058404,-0.025103,7
ENSG00000058453,0.003889,1
ENSG00000058600,-0.053929,16
ENSG00000058668,0.016825,1
ENSG00000058673,0.143042,1
ENSG00000058729,0.016561,5
ENSG00000058799,-0.078684,1
ENSG00000058804,0.141057,1
ENSG00000058866,0.062186,3
ENSG00000059122,0.78488,16
ENSG00000059145,-0.062561,16
ENSG00000059377,0.015717,7
ENSG00000059378,-0.046791,7
ENSG00000059573,-0.087977,10
ENSG00000059588,0.094801,1
ENSG00000059728,-0.041351,2
ENSG00000059758,0.057546,12
ENSG00000059769,0.047148,9
ENSG00000059915,0.045346,10
ENSG00000060138,0.022411,12
ENSG00000060140,0.22218,12
ENSG00000060237,0.076614,12
ENSG00000060339,0.097318,10
ENSG00000060491,0.18249,20
ENSG00000060558,0.196477,19
ENSG00000060566,0.153089,19
ENSG00000060642,0.154758,1
ENSG00000060656,-0.063008,1
ENSG00000060709,0.093187,12
ENSG00000060749,0.078598,11
ENSG00000060762,-0.0569,6
ENSG00000060971,0.135614,3
ENSG00000060982,0.103501,12
ENSG00000061273,0.002465,12
ENSG00000061337,0.158798,8
ENSG00000061656,0.052156,20
ENSG00000061676,0.075234,2
ENSG00000061794,-0.043105,12
ENSG00000061918,-0.021632,4
ENSG00000061936,0.035302,12
ENSG00000061938,-0.074155,3
ENSG00000061987,-0.013296,12
ENSG00000062194,0.127612,5
ENSG00000062282,0.048574,11
ENSG00000062485,0.008113,12
ENSG00000062524,0.000919,15
ENSG00000062598,0.130811,20
ENSG00000062716,-0.017892,17
ENSG00000062725,0.00634,17
ENSG00000062822,-0.123437,19
ENSG00000063015,-0.009817,17
ENSG00000063046,0.125852,12
ENSG00000063127,0.171696,19
ENSG00000063169,0.02006,19
ENSG00000063176,0.161972,19
ENSG00000063177,0.119237,19
ENSG00000063180,-0.102455,19
ENSG00000063241,0.215916,19
ENSG00000063244,-0.028224,19
ENSG00000063245,0.301186,19
ENSG00000063322,0.026265,19
ENSG00000063438,-0.005173,5
ENSG00000063660,0.05641,2
ENSG00000063761,0.176508,14
ENSG00000063854,0.465337,16
ENSG00000063978,0.314178,4
ENSG00000064102,0.008124,12
ENSG00000064115,-0.056456,12
ENSG00000064199,0.501466,11
ENSG00000064201,0.792382,11
ENSG00000064225,0.10462,3
ENSG00000064270,0.209976,16
ENSG00000064300,0.038063,17
ENSG00000064309,-0.067447,11
ENSG00000064313,0.037005,8
ENSG00000064393,-0.100179,7
ENSG00000064419,0.136949,7
ENSG00000064490,0.07656,19
ENSG00000064545,0.075702,19
ENSG00000064547,0.154996,19
ENSG00000064607,-0.057658,19
ENSG00000064651,0.153328,5
ENSG00000064652,0.160747,5
ENSG00000064655,-0.049663,20
ENSG00000064666,0.22881,19
ENSG00000064687,0.192951,19
ENSG00000064692,0.035184,5
ENSG00000064703,0.079178,1
ENSG00000064726,-0.002602,15
ENSG00000064763,0.000189,12
ENSG00000064787,0.047449,20
ENSG00000064886,0.58063,1
ENSG00000064932,0.083838,19
ENSG00000064933,0.160809,2
ENSG00000064961,0.002778,19
ENSG00000064989,0.034903,2
ENSG00000064995,0.146443,6
ENSG00000064999,-0.052091,6
ENSG00000065000,0.223172,19
ENSG00000065029,-0.039758,6
ENSG00000065054,-0.003678,16
ENSG00000065057,-0.013077,16
ENSG00000065060,0.243899,6
ENSG00000065135,0.000392,1
ENSG00000065150,0.024607,13
ENSG00000065154,0.082901,10
ENSG00000065183,0.09816,1
ENSG00000065243,0.064913,1
ENSG00000065268,0.712541,19
ENSG00000065308,0.13876,6
ENSG00000065320,0.120129,17
ENSG00000065328,0.056484,10
ENSG00000065357,0.004495,12
ENSG00000065361,0.081841,12
ENSG00000065413,0.197581,2
ENSG00000065427,0.046645,16
ENSG00000065457,0.533672,16
ENSG00000065485,0.059495,3
ENSG00000065491,0.075716,6
ENSG00000065518,-0.025287,3
ENSG00000065526,-0.029836,1
ENSG00000065534,-0.059315,3
ENSG00000065548,0.032199,2
ENSG00000065559,-0.120952,17
ENSG00000065600,0.145813,1
ENSG00000065613,0.00469,10
ENSG00000065621,0.264114,10
ENSG00000065665,0.112976,10
ENSG00000065675,-0.143732,10
ENSG00000065717,0.136464,19
ENSG00000065802,0.028349,2
ENSG00000065809,0.185267,10
ENSG00000065833,-0.035071,6
ENSG00000065882,-0.014342,4
ENSG00000065883,0.091713,7
ENSG00000065911,0.088594,2
ENSG00000065978,-0.047229,1
ENSG00000065989,-0.058196,19
ENSG00000066027,-0.028801,1
