"","GeneID","Chromosome","CausalVariance"
"356","ENSG00000142669",1,"0.246130362702098"
"357","ENSG00000158062",1,"0.239360348466762"
"358","ENSG00000169442",1,"0.24094871036816"
"359","ENSG00000176092",NA,NA
"360","ENSG00000176083",NA,NA
"361","ENSG00000131914",NA,NA
"362","ENSG00000117682",1,"0.224600737444403"
"363","ENSG00000198830",1,"0.231084664152175"
"364","ENSG00000117676",1,"0.0205806607889567"
"365","ENSG00000238705",NA,NA
"366","ENSG00000117713",1,"0"
"367","ENSG00000060642",1,"0"
"368","ENSG00000204160",1,"0"
"369","ENSG00000175793",1,"0"
"370","ENSG00000142751",1,"0"
"371","ENSG00000198746",1,"0"
"372","ENSG00000090273",1,"0"
"373","ENSG00000131910",NA,NA
"374","ENSG00000175707",1,"0"
"375","ENSG00000253368",1,"0"
"376","ENSG00000158246",NA,NA
"377","ENSG00000090020",1,"0"
"378","ENSG00000142784",1,"0"
"379","ENSG00000186501",1,"0"
"380","ENSG00000206888",NA,NA
"381","ENSG00000142765",1,"0"
"382","ENSG00000142733",1,"0"
"383","ENSG00000142748",NA,NA
"384","ENSG00000181773",1,"0"
"385","ENSG00000158195",1,"0"
"386","ENSG00000126705",1,"0"
"387","ENSG00000000938",1,"0"
"388","ENSG00000126709",1,"0"
"389","ENSG00000009780",1,"0"
"390","ENSG00000117758",1,"0"
"391","ENSG00000117751",1,"0.0103482331969103"
"392","ENSG00000252947",NA,NA
"393","ENSG00000130775",1,"0.0310705158955374"
"394","ENSG00000117748",1,"0.0344736749979407"
"395","ENSG00000130768",1,"0.0340581760318494"
"396","ENSG00000158156",1,"0.033771272441509"
"397","ENSG00000158161",1,"0.0310737583441055"
"398","ENSG00000169403",1,"0.0342255375536966"
"399","ENSG00000126698",1,"0.0358070837837468"
"400","ENSG00000130770",1,"0.0360212097825515"
"401","ENSG00000130766",1,"0.0363314200733947"
"402","ENSG00000130772",1,"0.0354368125449906"
"403","ENSG00000204138",1,"0.033491411136198"
"404","ENSG00000180198",1,"0.0361413139606369"
"405","ENSG00000242125",1,"0.0366686723294248"
"406","ENSG00000180098",1,"0.0358189558160352"
"407","ENSG00000197989",1,"0.0360245024809739"
"408","ENSG00000221539",NA,NA
"409","ENSG00000120656",1,"0.0356265203396493"
"410","ENSG00000188060",1,"0.0364729309132578"
"411","ENSG00000270103",NA,NA
"412","ENSG00000162419",1,"0.0322844328055655"
"413","ENSG00000198492",1,"0.0358801973653049"
"414","ENSG00000116329",NA,NA
"415","ENSG00000159023",1,"0"
"416","ENSG00000253304",1,"0"
"417","ENSG00000116350",1,"0"
"418","ENSG00000116353",1,"0"
"419","ENSG00000060656",1,"0"
"420","ENSG00000162510",1,"0.0408117562947646"
"421","ENSG00000186056",1,"0.0408335599607712"
"422","ENSG00000162511",1,"0.0407024560137696"
"423","ENSG00000264773",NA,NA
"424","ENSG00000162512",1,"0.0414053868124661"
"425","ENSG00000134644",1,"0.0407165761133689"
"426","ENSG00000084628",NA,NA
"427","ENSG00000060688",1,"0.0431706751590645"
"428","ENSG00000121766",1,"0.0434488521128301"
"429","ENSG00000121769",1,"0.0457893201858801"
"430","ENSG00000168528",1,"0.0458623646157611"
"431","ENSG00000223907",1,"0.0680816915576123"
"432","ENSG00000142910",1,"0"
"433","ENSG00000121764",NA,NA
"434","ENSG00000162517",1,"0"
"435","ENSG00000084636",1,"0"
"436","ENSG00000266580",NA,NA
"437","ENSG00000134668",1,"0"
"438","ENSG00000184007",1,"0"
"439","ENSG00000121774",1,"0"
"440","ENSG00000121775",1,"0"
"441","ENSG00000025800",1,"0"
"442","ENSG00000084652",1,"0"
"443","ENSG00000160050",1,"0"
"444","ENSG00000160051",1,"0"
"445","ENSG00000222046",1,"0"
"446","ENSG00000160055",1,"0"
"447","ENSG00000084623",1,"0"
"448","ENSG00000220785",1,"0"
"449","ENSG00000183615",1,"0"
"450","ENSG00000182866",1,"0"
"451","ENSG00000116478",1,"0"
"452","ENSG00000175130",1,"0"
"453","ENSG00000162526",1,"0"
"454","ENSG00000225828",1,"0"
"455","ENSG00000160058",1,"0"
"456","ENSG00000160062",1,"0"
"457","ENSG00000176261",1,"0"
"458","ENSG00000162521",1,"0"
"459","ENSG00000162520",1,"0"
"460","ENSG00000162522",1,"0"
"461","ENSG00000134684",1,"0"
"462","ENSG00000116497",1,"0.0048663796260325"
"463","ENSG00000160097",1,"0.00547901603067556"
"464","ENSG00000121905",1,"0.00554190447669768"
"465","ENSG00000121900",1,"0.00557445874760652"
"466","ENSG00000116514",1,"0.0404389009303283"
"467","ENSG00000004455",1,"0.0043881978440013"
"468","ENSG00000116525",1,"0.381086377626479"
"469","ENSG00000160094",1,"0.366820432262688"
"470","ENSG00000184389",NA,NA
"471","ENSG00000134686",1,"0.307590672303116"
"472","ENSG00000121903",1,"0.296806386766765"
"473","ENSG00000121904",NA,NA
"474","ENSG00000176256",NA,NA
"475","ENSG00000142698",NA,NA
"476","ENSG00000163866",1,"0"
"477","ENSG00000189280",NA,NA
"478","ENSG00000189433",NA,NA
"479","ENSG00000188910",NA,NA
"480","ENSG00000187513",1,"0"
"481","ENSG00000116544",1,"0"
"482","ENSG00000243749",1,"0"
"483","ENSG00000163867",1,"0"
"484","ENSG00000197056",1,"0"
"485","ENSG00000116560",1,"0"
"486","ENSG00000146463",1,"0"
"487","ENSG00000142687",1,"0"
"488","ENSG00000020129",1,"0"
"489","ENSG00000116819",1,"0"
"490","ENSG00000126067",1,"0"
"491","ENSG00000142686",1,"0"
"492","ENSG00000092853",1,"0"
"493","ENSG00000134698",1,"0"
"494","ENSG00000092847",1,"0"
"495","ENSG00000126070",1,"0"
"496","ENSG00000092850",1,"0"
"497","ENSG00000116863",1,"0"
"498","ENSG00000171812",1,"0"
"499","ENSG00000054116",1,"0"
"500","ENSG00000116871",1,"0"
"501","ENSG00000054118",1,"0"
"502","ENSG00000214193",1,"0"
"503","ENSG00000142694",1,"0"
"504","ENSG00000196182",1,"0"
"505","ENSG00000181817",1,"0"
"506","ENSG00000116885",1,"0"
"507","ENSG00000116898",1,"0"
"508","ENSG00000119535",1,"0"
"509","ENSG00000163873",NA,NA
"510","ENSG00000264698",NA,NA
"511","ENSG00000233621",1,"0.216103137752416"
"512","ENSG00000163874",1,"0.216721054673485"
"513","ENSG00000163875",1,"0.219804701214422"
"514","ENSG00000263675",NA,NA
"515","ENSG00000163877",1,"0.21902450606749"
"516","ENSG00000163879",1,"0.222039038453325"
"517","ENSG00000134697",1,"0.22067026279293"
"518","ENSG00000169218",1,"0"
"519","ENSG00000116922",1,"0.217458728531946"
"520","ENSG00000134690",1,"0.215031469448024"
"521","ENSG00000183317",1,"0.211863738058099"
"522","ENSG00000185090",1,"0.21923811068832"
"523","ENSG00000196449",1,"0.219979824169779"
"524","ENSG00000197982",1,"0.221241490722438"
"525","ENSG00000188786",1,"0.215350974118113"
"526","ENSG00000204084",1,"0.211078536922657"
"527","ENSG00000183431",1,"0.217046673067254"
"528","ENSG00000183386",1,"0.220291948434546"
"529","ENSG00000183520",1,"0.217276324802669"
"530","ENSG00000185668",1,"0.21784788247608"
"531","ENSG00000265596",NA,NA
"532","ENSG00000116954",1,"0.208654483925965"
"533","ENSG00000214114",1,"0.212041336429243"
"534","ENSG00000158315",1,"0.203093361071683"
"535","ENSG00000174574",1,"0.0064511618543972"
"536","ENSG00000168653",1,"0.00659117161219685"
"537","ENSG00000127603",1,"0"
"538","ENSG00000183682",1,"0"
"539","ENSG00000243970",1,"0"
"540","ENSG00000090621",1,"0"
"541","ENSG00000201457",NA,NA
"542","ENSG00000163909",1,"0"
"543","ENSG00000116981",1,"0"
"544","ENSG00000116983",1,"0"
"545","ENSG00000084072",1,"0"
"546","ENSG00000116985",1,"0"
"547","ENSG00000198754",1,"0"
"548","ENSG00000043514",1,"0"
"549","ENSG00000116990",1,"0"
"550","ENSG00000168389",1,"0"
"551","ENSG00000131236",1,"0.233618729290006"
"552","ENSG00000131238",1,"0"
"553","ENSG00000117000",1,"0"
"554","ENSG00000188800",NA,NA
"555","ENSG00000084073",1,"0"
"556","ENSG00000049089",1,"0"
"557","ENSG00000084070",1,"0"
"558","ENSG00000187801",1,"0.236433987314228"
"559","ENSG00000187815",1,"0.235008110689981"
"560","ENSG00000164002",1,"0.233551668921472"
"561","ENSG00000117010",1,"0.233265856570318"
"562","ENSG00000117016",1,"0.218683955529353"
"563","ENSG00000272145",NA,NA
"564","ENSG00000066136",1,"0.215696038265812"
"565","ENSG00000198974",NA,NA
"566","ENSG00000207962",NA,NA
"567","ENSG00000117013",1,"0"
"568","ENSG00000179862",1,"0.229129962993639"
"569","ENSG00000171793",1,"0.215914733819731"
"570","ENSG00000171790",1,"0"
"571","ENSG00000010803",1,"0.200680098112829"
"572","ENSG00000204060",1,"0.229724478576005"
"573","ENSG00000127129",1,"0.227572680738602"
"574","ENSG00000127124",1,"0"
"575","ENSG00000044012",NA,NA
"576","ENSG00000197273",NA,NA
"577","ENSG00000198815",1,"0"
"578","ENSG00000177181",1,"0"
"579","ENSG00000066185",1,"0"
"580","ENSG00000127125",1,"0"
"581","ENSG00000186409",1,"0"
"582","ENSG00000171960",1,"0"
"583","ENSG00000065978",1,"0"
"584","ENSG00000164007",NA,NA
"585","ENSG00000164008",1,"0"
"586","ENSG00000164010",1,"0"
"587","ENSG00000164011",1,"0"
"588","ENSG00000117394",1,"0"
"589","ENSG00000227533",1,"0"
"590","ENSG00000186973",NA,NA
"591","ENSG00000117395",1,"0.00627052484461654"
"592","ENSG00000179178",1,"0.0142225110056375"
"593","ENSG00000253313",NA,NA
"594","ENSG00000066056",1,"0.114102396986841"
"595","ENSG00000117400",NA,NA
"596","ENSG00000117399",1,"0.00625357548779612"
"597","ENSG00000066322",1,"0.0063074239129754"
"598","ENSG00000159479",1,"0.00608870393550387"
"599","ENSG00000198198",1,"0.00557046609842233"
"600","ENSG00000178922",1,"0.00458619370502297"
"601","ENSG00000142949",1,"0.198691535702106"
"602","ENSG00000066135",1,"0.169321559250276"
"603","ENSG00000236200",1,"0.21294365665454"
"604","ENSG00000126091",1,"0.18223493257249"
"605","ENSG00000117407",1,"0.22789884306775"
"606","ENSG00000117408",1,"0.222073682498927"
"607","ENSG00000132768",1,"0.227629621524756"
"608","ENSG00000117410",1,"0.227109890197933"
"609","ENSG00000117411",1,"0.225045436148204"
"610","ENSG00000159214",1,"0.226077461756268"
"611","ENSG00000196517",1,"0.217152865077005"
"612","ENSG00000171872",NA,NA
"613","ENSG00000178028",1,"0.244219261615043"
"614","ENSG00000117419",1,"0.211512132610824"
"615","ENSG00000233602",NA,NA
"616","ENSG00000187147",1,"0.184950123080254"
"617","ENSG00000263381",NA,NA
"618","ENSG00000126106",1,"0.225210715552741"
"619","ENSG00000198520",1,"0.220920383632019"
"620","ENSG00000199377",NA,NA
"621","ENSG00000200169",NA,NA
"622","ENSG00000142945",1,"0.222208954543512"
"623","ENSG00000142937",1,"0.229980157607446"
"624","ENSG00000264294",NA,NA
"625","ENSG00000202031",NA,NA
"626","ENSG00000207421",NA,NA
"627","ENSG00000142959",1,"0.23162451611891"
"628","ENSG00000173846",1,"0.231892852889648"
"629","ENSG00000188396",1,"0.232314767603734"
"630","ENSG00000222009",1,"0.231746775755591"
"631","ENSG00000117425",1,"0"
"632","ENSG00000070785",1,"0.208932754536122"
"633","ENSG00000126107",1,"0"
"634","ENSG00000126088",1,"0"
"635","ENSG00000162415",1,"0.0545865695561831"
"636","ENSG00000186603",1,"0"
"637","ENSG00000132781",1,"0"
"638","ENSG00000132773",1,"0"
"639","ENSG00000070759",1,"0"
"640","ENSG00000132763",1,"0"
"641","ENSG00000117450",1,"0"
"642","ENSG00000117448",1,"0"
"643","ENSG00000132780",1,"0"
"644","ENSG00000159588",1,"0"
"645","ENSG00000159592",1,"0"
"646","ENSG00000225447",1,"0"
"647","ENSG00000159596",1,"0"
"648","ENSG00000197429",1,"0"
"649","ENSG00000086015",1,"0"
"650","ENSG00000117461",1,"0.302934031993629"
"651","ENSG00000117472",1,"0.0133790467006605"
"652","ENSG00000085998",1,"0.325605650561228"
