gene_id,heritability,Chromosome
ENSG00000065600,0.420438,1
ENSG00000065609,0.999999,6
ENSG00000065613,0.999999,10
ENSG00000065615,0.999999,6
ENSG00000065621,0.41022,10
ENSG00000065665,0.108154,10
ENSG00000065675,1e-06,10
ENSG00000065717,1e-06,19
ENSG00000065802,1e-06,2
ENSG00000065809,0.783177,10
ENSG00000065833,1e-06,6
ENSG00000065882,0.999999,4
ENSG00000065883,0.160579,7
ENSG00000065911,0.999999,2
ENSG00000065978,0.407286,1
ENSG00000065989,0.999999,19
ENSG00000066027,0.321604,1
ENSG00000066032,0.999999,2
ENSG00000066044,1e-06,19
ENSG00000066056,0.999999,1
ENSG00000066084,0.931027,12
ENSG00000066117,0.999999,12
ENSG00000066135,0.405532,1
ENSG00000066136,0.999999,1
ENSG00000066185,0.27524,1
ENSG00000066230,0.268146,5
ENSG00000066279,0.125126,1
ENSG00000066294,0.999999,1
ENSG00000066322,1e-06,1
ENSG00000066336,1e-06,11
ENSG00000066379,0.103008,6
ENSG00000066405,0.464398,3
ENSG00000066422,0.90897,3
ENSG00000066427,1e-06,14
ENSG00000066455,0.198355,14
ENSG00000066557,1e-06,1
ENSG00000066583,0.062732,5
ENSG00000066629,1e-06,14
ENSG00000066651,0.999999,6
ENSG00000066654,0.056078,16
ENSG00000066697,0.999999,9
ENSG00000066739,1e-06,14
ENSG00000066777,0.999999,8
ENSG00000066827,0.346823,8
ENSG00000066855,1e-06,8
ENSG00000066923,0.991118,7
ENSG00000066926,1e-06,18
ENSG00000066933,0.181874,15
ENSG00000067057,0.308726,10
ENSG00000067064,0.63026,10
ENSG00000067066,0.011231,2
ENSG00000067082,0.999999,10
ENSG00000067141,0.981235,15
ENSG00000067167,0.224295,8
ENSG00000067182,1e-06,12
ENSG00000067191,0.237794,17
ENSG00000067208,0.999999,1
ENSG00000067221,1e-06,15
ENSG00000067225,0.39998,15
ENSG00000067248,0.232608,5
ENSG00000067334,1e-06,1
ENSG00000067365,0.22009,16
ENSG00000067369,0.602412,15
ENSG00000067533,1e-06,1
ENSG00000067560,1e-06,3
ENSG00000067596,1e-06,17
ENSG00000067601,0.053992,7
ENSG00000067606,0.516088,1
ENSG00000067704,1e-06,1
ENSG00000067798,1e-06,12
ENSG00000067836,0.999999,16
ENSG00000067900,1e-06,18
ENSG00000067955,1e-06,16
ENSG00000068001,1e-06,3
ENSG00000068024,0.570059,2
ENSG00000068028,0.143658,3
ENSG00000068078,1e-06,4
ENSG00000068079,1e-06,17
ENSG00000068097,0.999999,17
ENSG00000068120,0.243008,17
ENSG00000068137,0.574479,17
ENSG00000068305,1e-06,15
ENSG00000068383,0.620063,10
ENSG00000068489,0.999999,17
ENSG00000068615,0.880922,2
ENSG00000068650,0.484472,13
ENSG00000068654,1e-06,2
ENSG00000068697,0.999999,2
ENSG00000068724,0.304322,2
ENSG00000068745,1e-06,3
ENSG00000068781,0.999999,2
ENSG00000068784,0.724475,2
ENSG00000068796,0.339897,5
ENSG00000068831,0.549307,11
ENSG00000068878,0.451642,2
ENSG00000068885,0.999999,3
ENSG00000068903,1e-06,19
ENSG00000068912,0.999999,2
ENSG00000068971,0.118053,11
ENSG00000068976,1e-06,11
ENSG00000069011,0.900744,5
ENSG00000069020,0.553152,5
ENSG00000069188,1e-06,17
ENSG00000069248,0.999999,1
ENSG00000069275,1e-06,1
ENSG00000069329,0.999999,16
ENSG00000069399,0.999999,19
ENSG00000069424,0.999999,1
ENSG00000069431,0.762279,12
ENSG00000069493,1e-06,12
ENSG00000069667,0.999999,15
ENSG00000069702,0.999999,1
ENSG00000069712,0.891283,1
ENSG00000069812,0.999999,1
ENSG00000069849,0.53782,3
ENSG00000069869,0.768346,15
ENSG00000069943,0.999999,15
ENSG00000069956,0.641053,15
ENSG00000069966,1e-06,15
ENSG00000069974,0.53561,15
ENSG00000069998,0.279745,22
