"","GeneID","Chromosome","CausalVariance"
"207","ENSG00000186510",1,"0.279399301577886"
"208","ENSG00000184908",1,"0.278318828908973"
"209","ENSG00000185519",1,"0.272002088511421"
"210","ENSG00000142627",1,"0.479407230869075"
"211","ENSG00000142632",1,"0.499999999813347"
"212","ENSG00000132881",1,"0.316784387600673"
"213","ENSG00000037637",1,"0.368959145298122"
"214","ENSG00000055070",1,"0.134110920307063"
"215","ENSG00000187144",1,"0.772825957326214"
"216","ENSG00000157191",1,"0.395029362684876"
"217","ENSG00000080947",1,"0"
"218","ENSG00000219481",1,"0.371668631127293"
"219","ENSG00000215908",1,"1.34331283947062"
"220","ENSG00000186301",1,"0.13524467309717"
"221","ENSG00000268869",1,"NA"
"222","ENSG00000058453",1,"0.125436433981736"
"223","ENSG00000186715",1,"0"
"224","ENSG00000117122",1,"NA"
"225","ENSG00000159363",1,"0"
"226","ENSG00000117118",1,"0.273931125511974"
"227","ENSG00000117115",1,"0.128138400508225"
"228","ENSG00000142623",1,"0.277962362362967"
"229","ENSG00000142619",1,"NA"
"230","ENSG00000159339",1,"0"
"231","ENSG00000179051",1,"0.00190603787754416"
"232","ENSG00000074964",1,"0.178620498184186"
"233","ENSG00000117148",1,"NA"
"234","ENSG00000117154",1,"NA"
"235","ENSG00000179023",1,"0"
"236","ENSG00000009709",1,"NA"
"237","ENSG00000179002",1,"NA"
"238","ENSG00000159423",1,"0"
"239","ENSG00000265606",1,"NA"
"240","ENSG00000169991",1,"0.200658850939131"
"241","ENSG00000127481",1,"0.0147819024141686"
"242","ENSG00000127463",1,"0.0179792973020629"
"243","ENSG00000053372",1,"0.200757248009498"
"244","ENSG00000211454",1,"1.12498740931366"
"245","ENSG00000162482",1,"0.0687445198028285"
"246","ENSG00000053371",1,"0.688686122773614"
"247","ENSG00000040487",1,"0.0364564267429301"
"248","ENSG00000077549",1,"0"
"249","ENSG00000173436",1,"0"
"250","ENSG00000270136",1,"NA"
"251","ENSG00000158747",1,"0.412352235490574"
"252","ENSG00000158748",1,"0"
"253","ENSG00000162542",1,"0.174805304241365"
"254","ENSG00000178828",1,"NA"
"255","ENSG00000169914",1,"1.42247022868775"
